Wsp. x,Wsp. y1,Wsp. y2
0,343,225
0,343,225
0,343,225
0,343,225
0,343,225
0,343,225
0,343,225
0,343,225
0,343,225
0,343,225
0,343,225
0,343,225
0,343,225
0,343,225
0,343,225
0,343,225
0,343,225
0,343,225
1,343,225
1,343,225
1,343,225
1,343,225
1,343,225
1,343,225
1,343,225
1,343,225
1,343,225
1,343,225
1,343,225
1,343,225
1,343,225
1,343,225
1,343,225
1,343,225
2,343,225
2,343,225
2,343,225
2,343,225
2,343,225
2,343,225
2,343,225
2,343,225
2,343,225
2,343,225
2,343,225
2,343,225
2,343,225
2,343,225
2,343,225
2,343,225
3,343,225
3,343,225
3,343,225
3,343,225
3,343,225
3,343,225
3,343,225
3,343,225
3,343,225
3,343,225
3,343,225
3,343,225
3,343,225
3,343,225
3,343,225
3,343,225
4,343,225
4,343,225
4,343,225
4,343,225
4,343,225
4,343,225
4,343,225
4,343,225
4,343,225
4,343,225
4,343,225
4,343,225
4,343,225
5,343,225
5,343,225
5,343,225
5,343,225
5,343,225
5,343,225
5,343,225
5,343,225
5,343,225
5,343,225
5,343,225
5,343,225
5,343,225
5,343,225
6,343,225
6,343,225
6,343,225
6,343,225
6,343,225
6,343,225
6,343,225
6,343,225
6,343,225
6,343,225
6,343,225
6,343,225
6,343,225
6,343,225
6,343,225
6,343,225
7,343,225
7,343,225
7,343,225
7,343,225
7,343,225
7,343,225
7,343,225
7,343,225
7,343,225
7,343,225
7,343,225
7,343,225
7,343,225
7,343,225
7,343,225
7,343,225
8,343,225
8,343,225
8,343,225
8,343,225
8,343,225
8,343,225
8,343,225
8,343,225
8,343,225
8,343,225
8,343,225
8,343,225
8,343,225
8,343,225
8,343,225
8,343,225
9,343,225
9,343,225
9,343,225
9,343,225
9,343,225
9,343,225
9,343,225
9,343,225
9,343,225
9,343,225
9,343,225
9,343,225
9,343,225
9,343,225
9,343,225
9,343,225
10,343,225
10,343,225
10,343,225
10,343,225
10,343,225
10,343,225
10,343,225
10,343,225
10,343,225
10,343,225
10,343,225
10,343,225
10,343,225
10,343,225
10,343,225
10,343,225
11,343,225
11,343,225
11,343,225
11,343,225
11,343,225
11,343,225
11,343,225
11,343,225
11,343,225
11,343,225
11,343,225
11,343,225
11,343,225
11,343,225
11,343,225
11,343,225
12,343,225
12,343,225
12,343,225
12,343,225
12,343,225
12,343,225
12,343,225
12,343,225
12,343,225
12,343,225
12,343,225
12,343,225
12,343,225
12,343,225
12,343,225
12,343,225
13,343,225
13,343,225
13,343,225
13,343,225
13,343,225
13,343,225
13,343,225
13,343,225
13,343,225
13,343,225
13,343,225
13,343,225
13,343,225
13,343,225
13,343,225
13,343,225
14,343,225
14,343,225
14,343,225
14,343,225
14,343,225
14,343,225
14,343,225
14,343,225
14,343,225
14,343,225
14,343,225
14,343,225
14,343,225
14,343,225
14,343,225
14,343,225
15,343,225
15,343,225
15,343,225
15,343,225
15,343,225
15,343,225
15,343,225
15,343,225
15,343,225
15,343,225
15,343,225
15,343,225
15,343,225
15,343,225
15,343,225
15,343,225
15,343,225
16,343,225
16,343,225
16,343,225
16,343,225
16,343,225
16,343,225
16,343,225
16,343,225
16,343,225
16,343,225
16,343,225
16,343,225
16,343,225
16,343,225
16,343,225
16,343,225
17,343,225
17,343,225
17,343,225
17,343,225
17,343,225
17,343,225
17,343,225
17,343,225
17,343,225
17,343,225
17,343,225
17,343,225
17,343,225
17,343,225
17,343,225
18,343,225
18,343,225
18,343,225
18,343,225
18,343,225
18,343,225
18,343,225
18,343,225
18,343,225
18,343,225
18,343,225
18,343,225
18,343,225
18,343,225
18,343,225
18,343,225
18,343,225
19,343,225
19,343,225
19,343,225
19,343,225
19,343,225
19,343,225
19,343,225
19,343,225
19,343,225
19,343,225
19,343,225
19,343,225
19,343,225
19,343,225
19,343,225
20,343,225
20,343,225
20,343,225
20,343,225
20,343,225
20,343,225
20,343,225
20,343,225
20,343,225
20,343,225
20,343,225
20,343,225
20,343,225
20,343,225
20,343,225
20,343,225
21,343,225
21,343,225
21,343,225
21,343,225
21,343,225
21,343,225
21,343,225
21,343,225
21,343,225
21,343,225
21,343,225
21,343,225
21,343,225
21,343,225
21,343,225
21,343,225
22,343,225
22,343,225
22,343,225
22,343,225
22,343,225
22,343,225
22,343,225
22,343,225
22,343,225
22,343,225
22,343,225
22,343,225
22,343,225
22,343,225
22,343,225
22,343,225
23,343,225
23,343,225
23,343,225
23,343,225
23,343,225
23,343,225
23,343,225
23,343,225
23,343,225
23,343,225
23,343,225
23,343,225
23,343,225
23,343,225
23,343,225
23,343,225
23,343,225
24,343,225
24,343,225
24,343,225
24,343,225
24,343,225
24,343,225
24,343,225
24,343,225
24,343,225
24,343,225
24,343,225
24,343,225
24,343,225
24,343,225
25,343,225
25,343,225
25,343,225
25,343,225
25,343,225
25,343,225
25,343,225
25,343,225
25,343,225
25,343,225
25,343,225
25,343,225
25,343,225
25,343,225
25,343,225
25,343,225
26,343,225
26,343,225
26,343,225
26,343,225
26,343,225
26,343,225
26,343,225
26,343,225
26,343,225
26,343,225
26,343,225
26,343,225
26,343,225
26,343,225
26,343,225
27,343,225
27,343,225
27,343,225
27,343,225
27,343,225
27,343,225
27,343,225
27,343,225
27,343,225
27,343,225
27,343,225
27,343,225
27,343,225
27,343,225
27,343,225
27,343,225
27,343,225
28,343,225
28,343,225
28,343,225
28,343,225
28,343,225
28,343,225
28,343,225
28,343,225
